Year,Category,Amount,Type
2011,Education,31279856,Expense
2006,Natural Resources,49588580,Revenue
2022,Grants,38358109,Revenue
2001,Grants,49523873,Revenue
2014,Healthcare,2306121,Expense
2004,Natural Resources,25229939,Revenue
2000,Natural Resources,47805442,Revenue
2021,Education,33257190,Expense
2021,Natural Resources,18147917,Revenue
2020,Social Welfare,10614231,Expense
2006,Grants,8849099,Revenue
2018,Foreign Aid,7375128,Revenue
2000,Defense,43615464,Expense
2022,Foreign Aid,37955707,Revenue
2023,Education,32262659,Expense
2020,Infrastructure,26555686,Expense
2022,Foreign Aid,6137553,Revenue
2002,Tax Revenue,5438747,Revenue
2002,Education,4925555,Expense
2008,Education,3282634,Expense
2017,Education,26714200,Expense
2001,Education,8471729,Expense
2009,Healthcare,31208254,Expense
2020,Education,21251740,Expense
2015,Foreign Aid,37064082,Revenue
2010,Education,2348595,Expense
2010,Foreign Aid,34146515,Revenue
2000,Infrastructure,19798249,Expense
2003,Natural Resources,24860905,Revenue
2023,Natural Resources,33204955,Revenue
2013,Social Welfare,37027218,Expense
2006,Education,41056831,Expense
2006,Education,29660166,Expense
2006,Education,45001139,Expense
2015,Social Welfare,38606320,Expense
2015,Education,10919530,Expense
2003,Foreign Aid,40856514,Revenue
2023,Grants,13213160,Revenue
2003,Grants,44313607,Revenue
2020,Healthcare,21102035,Expense
2006,Natural Resources,25044248,Revenue
2022,Grants,15828577,Revenue
2008,Education,10172713,Expense
2005,Social Welfare,13555101,Expense
2004,Infrastructure,41144381,Expense
2016,Grants,15857407,Revenue
2022,Education,17010132,Expense
2015,Social Welfare,6071385,Expense
2008,Social Welfare,14160638,Expense
2002,Tax Revenue,24790836,Revenue
2022,Grants,38394334,Revenue
2008,Healthcare,30018880,Expense
2009,Grants,4353770,Revenue
2005,Healthcare,15486271,Expense
2022,Education,24592587,Expense
2012,Grants,8314246,Revenue
2005,Tax Revenue,21908348,Revenue
2018,Grants,3229819,Revenue
2011,Natural Resources,12347224,Revenue
2019,Education,12007466,Expense
2015,Education,25573418,Expense
2010,Education,2208929,Expense
2003,Foreign Aid,19958014,Revenue
2007,Education,15999748,Expense
2017,Healthcare,27106777,Expense
2014,Defense,26125998,Expense
2001,Grants,48991172,Revenue
2002,Grants,38602879,Revenue
2001,Social Welfare,35278588,Expense
2018,Foreign Aid,44894267,Revenue
2009,Infrastructure,6143043,Expense
2022,Social Welfare,45250559,Expense
2007,Defense,44847183,Expense
2008,Social Welfare,27572411,Expense
2019,Healthcare,15160299,Expense
2018,Defense,41291668,Expense
2019,Grants,32122635,Revenue
2013,Social Welfare,14061555,Expense
2007,Education,1863740,Expense
2021,Tax Revenue,12662530,Revenue
2002,Grants,21068123,Revenue
2020,Infrastructure,28621370,Expense
2020,Natural Resources,16968490,Revenue
2007,Defense,41281739,Expense
2013,Tax Revenue,35552629,Revenue
2002,Infrastructure,34884739,Expense
2017,Defense,2001107,Expense
2010,Healthcare,5291332,Expense
2018,Defense,49044240,Expense
2013,Natural Resources,4577499,Revenue
2012,Foreign Aid,39508468,Revenue
2004,Defense,8772283,Expense
2004,Foreign Aid,29927798,Revenue
2014,Education,44800439,Expense
2023,Foreign Aid,6174874,Revenue
2004,Education,15549710,Expense
2023,Infrastructure,18158591,Expense
2009,Infrastructure,15063332,Expense
2019,Education,8942190,Expense
2023,Grants,39400075,Revenue
2014,Infrastructure,37256709,Expense
2003,Foreign Aid,14931750,Revenue
2020,Education,10459102,Expense
2003,Social Welfare,4747650,Expense
2020,Grants,39840839,Revenue
2018,Social Welfare,37630671,Expense
2022,Healthcare,22326246,Expense
2018,Foreign Aid,41152659,Revenue
2013,Natural Resources,1232352,Revenue
2002,Infrastructure,36670851,Expense
2002,Education,28749089,Expense
2011,Infrastructure,7120415,Expense
2014,Infrastructure,14532513,Expense
2000,Tax Revenue,42946420,Revenue
2016,Healthcare,42262992,Expense
2023,Defense,16738629,Expense
2008,Social Welfare,7479284,Expense
2021,Defense,46703772,Expense
2004,Natural Resources,3001143,Revenue
2022,Natural Resources,10265571,Revenue
2001,Grants,13388773,Revenue
2008,Grants,45636792,Revenue
2020,Grants,25948374,Revenue
2022,Infrastructure,33226148,Expense
2022,Foreign Aid,2588561,Revenue
2016,Healthcare,33826903,Expense
2006,Grants,34440974,Revenue
2020,Infrastructure,46475900,Expense
2022,Healthcare,37703232,Expense
2001,Infrastructure,19283672,Expense
2012,Infrastructure,30451413,Expense
2009,Social Welfare,15843052,Expense
2009,Grants,38851881,Revenue
2000,Foreign Aid,17802925,Revenue
2005,Natural Resources,25512974,Revenue
2013,Grants,3709620,Revenue
2003,Healthcare,37837641,Expense
2008,Tax Revenue,35984057,Revenue
2012,Social Welfare,1917765,Expense
2016,Education,36792758,Expense
2015,Infrastructure,44588741,Expense
2017,Natural Resources,39046522,Revenue
2003,Education,26003764,Expense
2001,Natural Resources,42286775,Revenue
2019,Tax Revenue,33844312,Revenue
2020,Infrastructure,9428955,Expense
2001,Foreign Aid,33471186,Revenue
2000,Tax Revenue,18866240,Revenue
2011,Tax Revenue,2999313,Revenue
2000,Defense,1351419,Expense
2003,Infrastructure,20875132,Expense
2014,Infrastructure,4977754,Expense
2003,Foreign Aid,20347568,Revenue
2004,Social Welfare,46606034,Expense
2018,Education,16420161,Expense
2013,Infrastructure,24056449,Expense
2005,Foreign Aid,5929118,Revenue
2005,Defense,13221667,Expense
2019,Foreign Aid,5678633,Revenue
2018,Natural Resources,20649166,Revenue
2019,Infrastructure,15542911,Expense
2008,Natural Resources,13701353,Revenue
2007,Natural Resources,8301931,Revenue
2018,Foreign Aid,16197906,Revenue
2019,Foreign Aid,30380432,Revenue
2019,Education,42274659,Expense
2004,Healthcare,40773935,Expense
2020,Tax Revenue,35026033,Revenue
2016,Grants,6916628,Revenue
2009,Grants,18961314,Revenue
2016,Foreign Aid,23327270,Revenue
2010,Tax Revenue,26892451,Revenue
2003,Infrastructure,37749611,Expense
2006,Tax Revenue,7549189,Revenue
2016,Foreign Aid,5959936,Revenue
2016,Social Welfare,11705359,Expense
2005,Natural Resources,33625769,Revenue
2022,Tax Revenue,29763600,Revenue
2016,Infrastructure,11767568,Expense
2009,Grants,26972907,Revenue
2010,Healthcare,16759545,Expense
2009,Infrastructure,2123703,Expense
2012,Healthcare,49949082,Expense
2012,Grants,34845466,Revenue
2013,Infrastructure,43424964,Expense
2002,Infrastructure,33784982,Expense
2020,Defense,12335754,Expense
2000,Foreign Aid,41926981,Revenue
2001,Tax Revenue,7784688,Revenue
2022,Healthcare,30729548,Expense
2022,Natural Resources,24933847,Revenue
2016,Social Welfare,33385821,Expense
2012,Defense,1813826,Expense
2017,Natural Resources,6738831,Revenue
2007,Social Welfare,19513163,Expense
2012,Natural Resources,9055393,Revenue
2004,Defense,44249653,Expense
2022,Education,39064208,Expense
2003,Natural Resources,27023694,Revenue
2010,Healthcare,36816014,Expense
2023,Defense,46501916,Expense
2014,Education,33147580,Expense
2000,Social Welfare,15124089,Expense
2005,Tax Revenue,20060427,Revenue
2012,Grants,16587351,Revenue
2004,Social Welfare,30813291,Expense
2003,Natural Resources,49438972,Revenue
2012,Infrastructure,21874860,Expense
2005,Grants,46072393,Revenue
2018,Education,25944697,Expense
2015,Defense,5470062,Expense
2002,Education,49861432,Expense
2019,Foreign Aid,29232958,Revenue
2020,Tax Revenue,5479292,Revenue
2007,Education,10146294,Expense
2014,Natural Resources,9978531,Revenue
2022,Healthcare,46502412,Expense
2003,Foreign Aid,33474988,Revenue
2007,Grants,14149902,Revenue
2012,Defense,44306842,Expense
2014,Defense,19871352,Expense
2005,Tax Revenue,2277029,Revenue
2002,Healthcare,6145462,Expense
2005,Social Welfare,7822245,Expense
2012,Grants,45386819,Revenue
2002,Social Welfare,7156849,Expense
2003,Grants,8432993,Revenue
2009,Foreign Aid,8559489,Revenue
2012,Natural Resources,1115204,Revenue
2002,Social Welfare,18382200,Expense
2016,Natural Resources,10156837,Revenue
2002,Defense,16691093,Expense
2011,Grants,32666571,Revenue
2020,Tax Revenue,44741221,Revenue
2009,Foreign Aid,37389220,Revenue
2011,Natural Resources,19323935,Revenue
2001,Tax Revenue,12431449,Revenue
2022,Natural Resources,34728510,Revenue
2010,Grants,9886540,Revenue
2009,Foreign Aid,5774151,Revenue
2010,Defense,48413645,Expense
2000,Natural Resources,32291302,Revenue
2012,Healthcare,21837278,Expense
2007,Education,28199642,Expense
2023,Healthcare,7726037,Expense
2017,Social Welfare,28633218,Expense
2010,Foreign Aid,24649122,Revenue
2002,Healthcare,12273803,Expense
2009,Infrastructure,32091123,Expense
2022,Natural Resources,11151218,Revenue
2020,Social Welfare,15483873,Expense
2010,Foreign Aid,44222474,Revenue
2004,Healthcare,26557943,Expense
2015,Natural Resources,5879520,Revenue
2016,Tax Revenue,1236136,Revenue
2011,Grants,35535815,Revenue
2002,Social Welfare,6321581,Expense
2023,Education,22799393,Expense
2017,Natural Resources,9490001,Revenue
2016,Foreign Aid,22735104,Revenue
2016,Tax Revenue,14300021,Revenue
2020,Education,19819912,Expense
2018,Infrastructure,34095311,Expense
2011,Natural Resources,27746869,Revenue
2016,Healthcare,47729965,Expense
2002,Social Welfare,44073552,Expense
2001,Infrastructure,1532357,Expense
2011,Defense,2222045,Expense
2001,Foreign Aid,37049038,Revenue
2008,Education,10802513,Expense
2009,Grants,49728926,Revenue
2019,Defense,41108751,Expense
2003,Healthcare,12188309,Expense
2015,Education,21763381,Expense
2016,Social Welfare,18313035,Expense
2016,Social Welfare,17693017,Expense
2007,Natural Resources,42116036,Revenue
2006,Education,46436486,Expense
2003,Healthcare,12003804,Expense
2011,Healthcare,8006282,Expense
2018,Defense,17123805,Expense
2003,Infrastructure,10472987,Expense
2015,Education,30605052,Expense
2017,Natural Resources,5517045,Revenue
2008,Grants,7148395,Revenue
2011,Social Welfare,49016362,Expense
2012,Tax Revenue,47804974,Revenue
2008,Natural Resources,10215623,Revenue
2010,Grants,12601058,Revenue
2003,Tax Revenue,1676262,Revenue
2015,Infrastructure,7844860,Expense
2006,Education,33542449,Expense
2007,Education,26862151,Expense
2006,Infrastructure,10498539,Expense
2014,Infrastructure,44029431,Expense
2012,Infrastructure,6032061,Expense
2010,Infrastructure,26392647,Expense
2003,Tax Revenue,30551926,Revenue
2006,Defense,39228372,Expense
2019,Foreign Aid,31198635,Revenue
2003,Social Welfare,19587570,Expense
2019,Healthcare,33209439,Expense
2019,Foreign Aid,1421847,Revenue
2012,Natural Resources,31925724,Revenue
2007,Tax Revenue,6031954,Revenue
2001,Education,28898983,Expense
2019,Healthcare,11585550,Expense
2003,Defense,1639898,Expense
2000,Foreign Aid,23349047,Revenue
2006,Social Welfare,28771510,Expense
2014,Defense,4093929,Expense
2011,Healthcare,6039313,Expense
2002,Healthcare,22300597,Expense
2016,Education,4550117,Expense
2009,Grants,23792405,Revenue
2004,Infrastructure,26065661,Expense
2002,Social Welfare,48021696,Expense
2016,Foreign Aid,9037445,Revenue
2010,Grants,18453574,Revenue
2005,Defense,22599563,Expense
2004,Healthcare,38591252,Expense
2017,Foreign Aid,2918443,Revenue
2013,Tax Revenue,13597604,Revenue
2011,Infrastructure,45487565,Expense
2009,Foreign Aid,41921703,Revenue
2021,Grants,28091282,Revenue
2022,Healthcare,4514160,Expense
2015,Infrastructure,23570609,Expense
2023,Natural Resources,19438428,Revenue
2021,Infrastructure,13346793,Expense
2002,Tax Revenue,11976278,Revenue
2010,Defense,9626011,Expense
2020,Natural Resources,26614983,Revenue
2000,Foreign Aid,36987454,Revenue
2009,Tax Revenue,10106143,Revenue
2016,Foreign Aid,38472682,Revenue
2001,Tax Revenue,46510877,Revenue
2011,Defense,26038304,Expense
2014,Natural Resources,3745767,Revenue
2018,Foreign Aid,18224474,Revenue
2011,Foreign Aid,48633911,Revenue
2022,Social Welfare,36889540,Expense
2004,Healthcare,13277120,Expense
2023,Infrastructure,12569916,Expense
2011,Infrastructure,27309194,Expense
2021,Healthcare,44615148,Expense
2000,Infrastructure,33554004,Expense
2011,Natural Resources,4900244,Revenue
2004,Healthcare,47039210,Expense
2021,Grants,46472826,Revenue
2000,Infrastructure,13958473,Expense
2017,Infrastructure,16042064,Expense
2002,Defense,22125669,Expense
2022,Social Welfare,19220351,Expense
2016,Tax Revenue,38954535,Revenue
2021,Defense,18791426,Expense
2013,Defense,47388196,Expense
2021,Infrastructure,31235896,Expense
2018,Grants,15641653,Revenue
2020,Defense,22611617,Expense
2013,Defense,6590222,Expense
2014,Education,34710420,Expense
2004,Infrastructure,41313168,Expense
2008,Natural Resources,16439988,Revenue
2020,Foreign Aid,22771859,Revenue
2018,Infrastructure,46753815,Expense
2011,Grants,3387761,Revenue
2020,Foreign Aid,13762731,Revenue
2000,Education,43038477,Expense
2010,Infrastructure,42070734,Expense
2005,Infrastructure,24954242,Expense
2003,Defense,37196450,Expense
2021,Infrastructure,22177922,Expense
2014,Infrastructure,46471575,Expense
2012,Infrastructure,35362957,Expense
2019,Grants,26312946,Revenue
2006,Foreign Aid,3179312,Revenue
2005,Infrastructure,44758842,Expense
2004,Defense,19189514,Expense
2007,Infrastructure,26375722,Expense
2011,Grants,21128634,Revenue
2018,Grants,23505079,Revenue
2000,Infrastructure,23649485,Expense
2010,Defense,34628631,Expense
2007,Social Welfare,24846449,Expense
2004,Tax Revenue,34219423,Revenue
2022,Natural Resources,19649736,Revenue
2021,Social Welfare,32910727,Expense
2000,Grants,29578909,Revenue
2002,Foreign Aid,17411997,Revenue
2000,Social Welfare,20133499,Expense
2020,Grants,3332191,Revenue
2018,Natural Resources,12462920,Revenue
2022,Education,40519191,Expense
2014,Infrastructure,17905978,Expense
2019,Infrastructure,22811796,Expense
2011,Grants,28579336,Revenue
2013,Infrastructure,7876477,Expense
2020,Defense,38460862,Expense
2020,Tax Revenue,38752823,Revenue
2003,Social Welfare,35156779,Expense
2020,Education,12675970,Expense
2012,Social Welfare,17086675,Expense
2005,Grants,29620407,Revenue
2019,Foreign Aid,33644047,Revenue
2010,Defense,34255019,Expense
2005,Infrastructure,8850205,Expense
2021,Infrastructure,3238183,Expense
2013,Defense,32808982,Expense
2018,Tax Revenue,29590583,Revenue
2008,Healthcare,34309174,Expense
2021,Foreign Aid,31082212,Revenue
2007,Social Welfare,15779606,Expense
2019,Defense,35334276,Expense
2004,Education,18027736,Expense
2010,Defense,36015720,Expense
2023,Infrastructure,3470885,Expense
2005,Social Welfare,18881819,Expense
2019,Infrastructure,34246950,Expense
2002,Healthcare,29420672,Expense
2012,Foreign Aid,1957809,Revenue
2021,Healthcare,31479868,Expense
2013,Foreign Aid,21023414,Revenue
2014,Natural Resources,34469044,Revenue
2008,Natural Resources,3370489,Revenue
2016,Social Welfare,39555590,Expense
2001,Education,48053137,Expense
2007,Foreign Aid,46578599,Revenue
2013,Defense,36451819,Expense
2007,Healthcare,9777411,Expense
2018,Grants,43449147,Revenue
2016,Natural Resources,18178494,Revenue
2020,Tax Revenue,3033684,Revenue
2012,Social Welfare,28159628,Expense
2016,Natural Resources,44043168,Revenue
2009,Grants,25744806,Revenue
2005,Healthcare,26671192,Expense
2013,Natural Resources,46777580,Revenue
2007,Defense,10979794,Expense
2000,Tax Revenue,6638310,Revenue
2014,Grants,43147287,Revenue
2020,Education,45341521,Expense
2013,Infrastructure,38430398,Expense
2009,Healthcare,9292733,Expense
2000,Tax Revenue,44993958,Revenue
2017,Natural Resources,44932037,Revenue
2000,Education,43379813,Expense
2019,Defense,15155580,Expense
2013,Education,38449683,Expense
2013,Social Welfare,47902950,Expense
2003,Grants,33416900,Revenue
2006,Healthcare,42301766,Expense
2007,Infrastructure,34524050,Expense
2017,Social Welfare,21597303,Expense
2015,Defense,34652221,Expense
2008,Education,8794702,Expense
2013,Social Welfare,17845331,Expense
2000,Tax Revenue,7713583,Revenue
2011,Tax Revenue,14756696,Revenue
2007,Foreign Aid,25757562,Revenue
2016,Foreign Aid,34190164,Revenue
2009,Grants,29770134,Revenue
2000,Tax Revenue,45546206,Revenue
2013,Social Welfare,48835704,Expense
2012,Tax Revenue,39669965,Revenue
2010,Education,7529594,Expense
2011,Infrastructure,39227619,Expense
2022,Healthcare,11441258,Expense
2005,Foreign Aid,17022976,Revenue
2016,Education,40310366,Expense
2022,Defense,27919969,Expense
2017,Natural Resources,26135849,Revenue
2007,Healthcare,10874383,Expense
2011,Tax Revenue,21198109,Revenue
2007,Social Welfare,19969643,Expense
2007,Defense,1597723,Expense
2001,Social Welfare,28284976,Expense
2011,Foreign Aid,4165504,Revenue
2009,Natural Resources,35266517,Revenue
2019,Education,28902626,Expense
2007,Defense,16414813,Expense
2016,Healthcare,46846285,Expense
2009,Grants,33374003,Revenue
2009,Infrastructure,14522911,Expense
2015,Natural Resources,14591846,Revenue
2008,Tax Revenue,48666752,Revenue
2019,Foreign Aid,24005411,Revenue
2021,Social Welfare,46294038,Expense
2000,Infrastructure,43083067,Expense
2014,Social Welfare,48267160,Expense
2020,Natural Resources,22527214,Revenue
2002,Foreign Aid,41623878,Revenue
2004,Infrastructure,8851604,Expense
2018,Defense,26399739,Expense
2006,Infrastructure,24428592,Expense
2003,Healthcare,15954305,Expense
2000,Foreign Aid,26111157,Revenue
2016,Infrastructure,1985086,Expense
2016,Tax Revenue,46582408,Revenue
2007,Foreign Aid,18953531,Revenue
2015,Defense,25244527,Expense
2006,Tax Revenue,47336601,Revenue
2015,Infrastructure,34278213,Expense
2011,Education,35998214,Expense
2007,Healthcare,46425533,Expense
2021,Natural Resources,7761022,Revenue
2017,Healthcare,45660742,Expense
2010,Healthcare,9837510,Expense
2016,Foreign Aid,26969252,Revenue
2000,Infrastructure,6990223,Expense
2002,Education,31403360,Expense
2011,Foreign Aid,9263026,Revenue
2005,Infrastructure,9771615,Expense
2020,Natural Resources,11684963,Revenue
2012,Foreign Aid,10531086,Revenue
2019,Education,35729624,Expense
2003,Natural Resources,24383022,Revenue
2021,Grants,43603832,Revenue
2011,Foreign Aid,22080870,Revenue
2002,Defense,15717963,Expense
2018,Natural Resources,2143999,Revenue
2000,Education,23613544,Expense
2020,Grants,6569070,Revenue
2012,Infrastructure,19450643,Expense
2000,Infrastructure,32036743,Expense
2004,Grants,10552778,Revenue
2008,Defense,7949121,Expense
2022,Education,21715129,Expense
2001,Tax Revenue,2161599,Revenue
2002,Social Welfare,16204906,Expense
2011,Grants,40955787,Revenue
2005,Grants,23092712,Revenue
2011,Social Welfare,32911086,Expense
2006,Natural Resources,19737979,Revenue
2009,Education,19875380,Expense
2005,Tax Revenue,33733224,Revenue
2013,Healthcare,31774271,Expense
2010,Defense,13974997,Expense
2004,Natural Resources,12772815,Revenue
2009,Defense,13328420,Expense
2019,Defense,30227348,Expense
2001,Defense,37550507,Expense
2017,Tax Revenue,45164192,Revenue
2006,Social Welfare,10780589,Expense
2018,Infrastructure,32043761,Expense
2019,Defense,12686871,Expense
2021,Foreign Aid,17756542,Revenue
2018,Grants,8393919,Revenue
2014,Foreign Aid,30563384,Revenue
2007,Defense,16562075,Expense
2011,Infrastructure,8383621,Expense
2004,Social Welfare,9858019,Expense
2003,Education,46381089,Expense
2017,Social Welfare,45701640,Expense
2019,Education,24630209,Expense
2011,Defense,49255479,Expense
2008,Healthcare,38263566,Expense
2002,Defense,41467380,Expense
2015,Social Welfare,20028375,Expense
2019,Education,27872970,Expense
2010,Infrastructure,42002068,Expense
2017,Infrastructure,49859335,Expense
2020,Social Welfare,43080774,Expense
2010,Tax Revenue,18448650,Revenue
2006,Healthcare,6987431,Expense
2000,Grants,24305319,Revenue
2010,Grants,16970136,Revenue
2015,Grants,9984064,Revenue
2015,Education,41120277,Expense
2011,Defense,14975469,Expense
2020,Social Welfare,6971422,Expense
2002,Defense,26262018,Expense
2020,Grants,21297983,Revenue
2006,Natural Resources,24674158,Revenue
2006,Education,45485180,Expense
2021,Infrastructure,18205565,Expense
2017,Education,44754779,Expense
2021,Natural Resources,16095017,Revenue
2002,Natural Resources,48101776,Revenue
2015,Defense,14251031,Expense
2002,Infrastructure,8580640,Expense
2002,Infrastructure,47070636,Expense
2007,Healthcare,31746333,Expense
2016,Healthcare,34043264,Expense
2016,Grants,26376350,Revenue
2016,Foreign Aid,23957028,Revenue
2008,Grants,12036534,Revenue
2003,Education,47114687,Expense
2000,Social Welfare,36666725,Expense
2018,Defense,19846730,Expense
2010,Infrastructure,48271583,Expense
2006,Education,17258559,Expense
2012,Defense,49265505,Expense
2015,Tax Revenue,21660145,Revenue
2023,Education,44567447,Expense
2021,Healthcare,47053456,Expense
2012,Grants,23161593,Revenue
2017,Infrastructure,33798809,Expense
2009,Natural Resources,25368802,Revenue
2012,Tax Revenue,47188595,Revenue
2006,Social Welfare,10399404,Expense
2021,Tax Revenue,34083611,Revenue
2021,Social Welfare,3943521,Expense
2014,Infrastructure,31000088,Expense
2014,Healthcare,13059742,Expense
2010,Foreign Aid,25970297,Revenue
2022,Education,40301477,Expense
2004,Foreign Aid,11132250,Revenue
2007,Tax Revenue,16643929,Revenue
2011,Healthcare,32544468,Expense
2017,Social Welfare,5908109,Expense
2003,Education,20736540,Expense
2005,Infrastructure,1409562,Expense
2014,Healthcare,14323921,Expense
2009,Education,27495887,Expense
2017,Social Welfare,17089370,Expense
2019,Tax Revenue,15943858,Revenue
2022,Infrastructure,43809676,Expense
2002,Social Welfare,16805362,Expense
2007,Education,32326581,Expense
2003,Education,47640699,Expense
2020,Education,44817665,Expense
2021,Foreign Aid,48577950,Revenue
2015,Foreign Aid,18483127,Revenue
2014,Grants,3411858,Revenue
2012,Grants,13865971,Revenue
2012,Natural Resources,48372195,Revenue
2006,Tax Revenue,15648149,Revenue
2021,Social Welfare,15209275,Expense
2013,Education,39802335,Expense
2023,Education,9949964,Expense
2011,Infrastructure,34335097,Expense
2018,Defense,8843973,Expense
2023,Grants,47419209,Revenue
2019,Education,18334658,Expense
2007,Defense,31840446,Expense
2009,Infrastructure,13559945,Expense
2022,Grants,17085486,Revenue
2007,Natural Resources,4389356,Revenue
2009,Tax Revenue,3507014,Revenue
2023,Infrastructure,39797305,Expense
2014,Education,26336605,Expense
2020,Infrastructure,35035682,Expense
2008,Healthcare,5556639,Expense
2002,Grants,9737023,Revenue
2020,Healthcare,2265629,Expense
2001,Social Welfare,12639231,Expense
2000,Tax Revenue,46079633,Revenue
2004,Social Welfare,28988045,Expense
2001,Tax Revenue,42211922,Revenue
2014,Foreign Aid,1546698,Revenue
2015,Healthcare,28061529,Expense
2007,Natural Resources,20711273,Revenue
2021,Tax Revenue,9283422,Revenue
2002,Tax Revenue,12600929,Revenue
2005,Education,40558928,Expense
2015,Social Welfare,3633227,Expense
2011,Healthcare,33230082,Expense
2004,Grants,49864596,Revenue
2004,Education,35963264,Expense
2023,Education,13119571,Expense
2017,Education,23775070,Expense
2020,Education,11751827,Expense
2019,Natural Resources,47590585,Revenue
2004,Tax Revenue,46602247,Revenue
2014,Grants,8191782,Revenue
2005,Grants,48464147,Revenue
2005,Social Welfare,44481940,Expense
2001,Defense,38912986,Expense
2008,Infrastructure,17438101,Expense
2009,Infrastructure,1819223,Expense
2012,Tax Revenue,47276632,Revenue
2003,Grants,39755523,Revenue
2006,Defense,4863890,Expense
2004,Defense,3646391,Expense
2012,Tax Revenue,15480377,Revenue
2014,Grants,38716087,Revenue
2011,Social Welfare,19826193,Expense
2019,Foreign Aid,48621949,Revenue
2021,Grants,45083835,Revenue
2019,Tax Revenue,34457695,Revenue
2012,Healthcare,31706222,Expense
2018,Defense,8002485,Expense
2013,Infrastructure,24813511,Expense
2004,Natural Resources,23446628,Revenue
2021,Foreign Aid,3394792,Revenue
2017,Defense,40974307,Expense
2015,Education,36650084,Expense
2018,Natural Resources,38293416,Revenue
2004,Foreign Aid,22904098,Revenue
2009,Natural Resources,43079285,Revenue
2003,Infrastructure,1255527,Expense
2005,Natural Resources,36144543,Revenue
2021,Infrastructure,17448277,Expense
2004,Tax Revenue,2711576,Revenue
2019,Tax Revenue,36266666,Revenue
2005,Defense,11316214,Expense
2022,Infrastructure,19834758,Expense
2005,Natural Resources,17390456,Revenue
2017,Infrastructure,36254330,Expense
2019,Grants,5458352,Revenue
2017,Foreign Aid,6764702,Revenue
2023,Defense,33330531,Expense
2002,Defense,28722826,Expense
2013,Defense,20224190,Expense
2014,Healthcare,34060727,Expense
2003,Grants,30581095,Revenue
2015,Social Welfare,24977522,Expense
2004,Healthcare,43817066,Expense
2023,Tax Revenue,14981697,Revenue
2018,Tax Revenue,18697646,Revenue
2007,Infrastructure,42619424,Expense
2018,Healthcare,40753678,Expense
2006,Defense,37367463,Expense
2008,Infrastructure,19376836,Expense
2001,Natural Resources,28080225,Revenue
2003,Infrastructure,24386700,Expense
2013,Tax Revenue,1499897,Revenue
2009,Tax Revenue,12969631,Revenue
2013,Foreign Aid,42668637,Revenue
2004,Education,45288565,Expense
2004,Grants,8683856,Revenue
2015,Natural Resources,19413891,Revenue
2010,Natural Resources,41575049,Revenue
2017,Defense,11796114,Expense
2019,Foreign Aid,16963146,Revenue
2012,Natural Resources,14574270,Revenue
2001,Healthcare,47006315,Expense
2013,Social Welfare,4264850,Expense
2007,Education,37329811,Expense
2013,Healthcare,34730476,Expense
2006,Infrastructure,27438376,Expense
2001,Education,36920696,Expense
2021,Social Welfare,11976800,Expense
2016,Grants,15681467,Revenue
2021,Grants,22875553,Revenue
2016,Healthcare,35338708,Expense
2010,Grants,12783385,Revenue
2007,Healthcare,16954018,Expense
2023,Education,48466061,Expense
2005,Social Welfare,40520775,Expense
2018,Foreign Aid,46772392,Revenue
2011,Healthcare,25502762,Expense
2002,Education,1805251,Expense
